Схема кузова,ТИП КУЗОВА1,ТИП КУЗОВА2,ТИП КУЗОВА3,ТИП КУЗОВА4,ТИП КУЗОВА5,ТИП КУЗОВА6,ТИП КУЗОВА7,ТИП КУЗОВА8,зона,деталь 1,деталь 2,программа,розібрати/зібрати,усунення перекосу,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Кронштейн кріплення бамп.пер.пр.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Направляюча бамп.пер.лів.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Направляюча бамп.пер.пр.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,ПТФ бампера пер.лів.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,ПТФ бампера пер.пр.,,,,замінити,зняти/встановити,ремонт,
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Решітка бамп.пер.лів.,,,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Решітка бамп.пер.пр.,,,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Решітка бамп.пер.центр.,,,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Решітка бампера пер.,,,,замінити,зняти/встановити,ремонт,фарбування
"Рис.1 дв, ,  Рис.2дв.",ХЕТЧБЕК 3 двери,ХЕТЧБЕК 5 дверей,КУПЕ,ЛИФТБЭК 5 дверей,СЕДАН,УНИВЕРСАЛ,ВНЕДОРОЖНИК 3 дверный,ВНЕДОРОЖНИК 5 дверный,Бампер передній,Деталь бампера переднього,Решітка бампера пер.,,,,замінити,зняти/встановити,ремонт,фарбування
